"Health Facility Name","NIN OR HFR","Facility ID","Solar Working Status?",State,District,Block,"Health Facility Type","Mapped Vendor","Top 3 values of Data.facilityCategory.keyword","Open Tickets","Closed Tickets","No of Tickets Logged"
"Hirekerur General Hospital",6444722281,"FAC/2025/4474",Yes,Karnataka,Haveri,Hirekerur,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hirekodagali,8736846513,"FAC/2025/5838",Yes,Karnataka,Bagalkote,Hunagund,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Hirekogaluru,1417874433,"FAC/2026/7413",Yes,Karnataka,Davanagere,Channagiri,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hirekolachi,6866443358,"FAC/2025/3586",Yes,Karnataka,Vijayanagara,Hadagali,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hirekolale,8817453429,"FAC/2026/6712",Yes,Karnataka,Chikkamagaluru,Chikkamagaluru,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Hirekudi,6432767827,"FAC/2025/4337",Yes,Karnataka,Belagavi,Chikodi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hirekumbi,2483852345,"FAC/2025/5173",Yes,Karnataka,Belagavi,Savadatti,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
Hiremagadi,4262447644,"FAC/2025/6063",Yes,Karnataka,Shivamogga,Soraba,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Hiremagi,4273754855,"FAC/2025/5839",Yes,Karnataka,Bagalkote,Hunagund,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Hiremalali,1312717166,"FAC/2026/7468",Yes,Karnataka,Davanagere,Channagiri,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hiremallura,7768363264,"FAC/2026/7535",Yes,Karnataka,Haveri,Shiggaon,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hiremanakatti,1541512289,"FAC/2026/7536",Yes,Karnataka,Haveri,Shiggaon,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hiremane,5746468262,"FAC/2025/6002",Yes,Karnataka,Shivamogga,Sagara,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Hiremannapur SC",6638457819,"FAC/2025/3680",Yes,Karnataka,Koppal,Kushtagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hiremasali,1328874456,"FAC/2025/3459",Yes,Karnataka,Vijayapura,Indi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,1,1
Hiremulangi,7466633281,"FAC/2025/5898",Yes,Karnataka,Belagavi,Ramdurga,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Hiremural,7322484663,"FAC/2025/3458",Yes,Karnataka,Vijayapura,Vijayapura,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hiremyageri,7113185156,"FAC/2025/3679",Yes,Karnataka,Koppal,Yelburga,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hirenandihal,8627465340,"FAC/2025/3678",Yes,Karnataka,Koppal,Kushtagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hirenandihalli,7237587667,"FAC/2025/5888",Yes,Karnataka,Belagavi,Bailhongal,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Hirenarthi,4825567383,"FAC/2025/4293",Yes,Karnataka,Dharwad,Kundagol,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hirerugi,1656784475,"FAC/2025/3457",Yes,Karnataka,Vijayapura,Indi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hireshellikeri,3842578357,"FAC/2025/4141",Yes,Karnataka,Bagalkote,Bagalkote,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,1,1
Hirgana,3711641211,"FAC/2025/3353",Yes,Karnataka,Udupi,Karkala,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
Hiriyadka,4368575678,"FAC/2025/3320",Yes,Karnataka,Udupi,Udupi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Hiriyur,8158781768,"FAC/2026/7328",Yes,Karnataka,Chitradurga,Holalkere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hirnagaon,7627288561,"FAC/2025/3951",Yes,Karnataka,Bidar,Basavakalyan,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hirolli,3482473356,"FAC/2025/4768",Yes,Karnataka,Kalaburagi,Aland,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
"Hiswal KH",3726148442,"FAC/2025/5564",Yes,Maharashtra,Nasik,Nandgaon,"Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
"Hittanalli L T",6847717359,"FAC/2025/3456",Yes,Karnataka,Vijayapura,Sindagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,2,2
Hivare,6115137652,"FAC/2026/10605",Yes,Maharashtra,Pune,Shirur,"Sub Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Hiya,6435388266,"FAC/2026/8706",Yes,"Arunachal Pradesh",KurungKumey,Nyapin,"Primary Health Center","Bharti Sharma",HEALTH,0,0,0
Hiyanglam,6522884342,"FAC/2026/7153",Yes,Manipur,Kakching,Kakching,"Primary Health Center",MANGAAL,HEALTH,0,0,0
Hliappui,HliappuiSC,"FAC/2025/2602",Yes,Mizoram,Saitual,Ngopa,"Sub Center","Krishna Power Solution",HEALTH,0,0,0
"Hlimen UPHC",HlimenUPHC,"FAC/2025/2615",Yes,Mizoram,Aizawl,Aibawk,"Urban Primary Health Center","Krishna Power Solution",HEALTH,0,0,0
"Hmar Veng",6123868744,"FAC/2025/5785",Yes,Mizoram,Kolasib,Bilkhawthlir,"Health Clinic","Agni Green Power Ltd",HEALTH,0,0,0
Hmuifang,hmuifang,"FAC/2025/5734",Yes,Mizoram,Aizawl,Aibawk,"Health Clinic","Agni Green Power Ltd",HEALTH,0,0,0
"Hmunhmeltha SC",HmunhmelthaSC,"FAC/2025/2801",Yes,Mizoram,Champhai,Champhai,"Sub Center","Agni Green Power Ltd",HEALTH,0,1,1
"Hmunlai SC",HmunlaiSC,"FAC/2025/2491",Yes,Mizoram,Lawngtlai,Lawngtlai,"Sub Center","Agni Green Power Ltd",HEALTH,0,0,0
"Hmunṭha",6417888127,"FAC/2025/5700",Yes,Mizoram,Serchhip,Serchhip,"Sub Center","Agni Green Power Ltd",HEALTH,0,0,0
Hnahlan,4522788720,"FAC/2025/5671",Yes,Mizoram,Champhai,Champhai,"Sub Center","Agni Green Power Ltd",HEALTH,0,0,0
"Hnahlan PHC",HnahlanPHC,"FAC/2025/2789",Yes,Mizoram,Champhai,Khawbung,"Primary Health Center","Agni Green Power Ltd",HEALTH,0,1,1
"Hnahthial SC",HnahthialSC,"FAC/2025/2695",Yes,Mizoram,Hnahthial,Hnahthial,"Sub Center","Thlado Greentech",HEALTH,0,0,0
"Hnahthial South",hnahthialsouth,"FAC/2025/5803",Yes,Mizoram,Hnahthial,Hnahthial,"Health Clinic","Agni Green Power Ltd",HEALTH,0,0,0
HodeBirnalli,4634757811,"FAC/2025/3792",Yes,Karnataka,Kalaburagi,Chincholi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Hokrana B",7878433114,"FAC/2025/3950",Yes,Karnataka,Bidar,Bidar,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hol,7764742628,"FAC/2026/10591",Yes,Maharashtra,Pune,Baramati,"Primary Health Center","Devidayal Solar",HEALTH,0,0,0
Holabikonda,8348435523,"FAC/2026/7537",Yes,Karnataka,Haveri,Hirekerur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Holalakere General Hospital",1116244169,"FAC/2025/4492",Yes,Karnataka,Chitradurga,Holakere,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Holalkere R S",3763431784,"FAC/2026/7329",Yes,Karnataka,Chitradurga,Holalkere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Holalu B",4844753311,"FAC/2025/3585",Yes,Karnataka,Vijayanagara,Hadagali,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Holanagadde,5655651569,"FAC/2025/6154",Yes,Karnataka,UttaraKannada,Kumta,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Holavanahalli A",6273458288,"FAC/2026/6973",Yes,Karnataka,Tumkur,Koratagere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,1,1
Holeharalahalli,6116273514,"FAC/2026/7437",Yes,Karnataka,Davanagere,Honnali,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Holeitagi,1153238512,"FAC/2025/3864",Yes,Karnataka,Gadag,Shirhatti,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Holekoppa,8372854144,"FAC/2026/6713",Yes,Karnataka,Chikkamagaluru,Sringeri,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Holemudlapur,2464464813,"FAC/2025/3677",Yes,Karnataka,Koppal,Koppal,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Holenarasipura Taluk Hospital",5482133880,"FAC/2025/4478",Yes,Karnataka,Hassan,Holenarasipura,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Holkunda,8337171873,"FAC/2025/3791",Yes,Karnataka,Kalaburagi,Kalaburagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hollaidanga,"mg-0459","FAC/2025/1190",Yes,Meghalaya,WestGaroHills,Tikirkilla,"Health and Wellness Center",ERES,HEALTH,0,1,1
"Holongba HWC",IN1310000600,"FAC/2025/1960",Yes,Nagaland,Tuensang,Longkhim,"Health and Wellness Center","A and D Solar",HEALTH,0,1,1
Holur,6584741737,"FAC/2026/6895",Yes,Karnataka,Kolar,Kolar,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hombaradi,8143284548,"FAC/2026/7507",Yes,Karnataka,Haveri,Haveri,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,1,1
Honaga,1115722348,"FAC/2025/5113",Yes,Karnataka,Belagavi,Belagavi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
"Honagera SC",2644486629,"FAC/2025/3371",Yes,Karnataka,Yadgir,Yadgir,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Honavara Taluk Hospital",5323786862,"FAC/2025/4429",Yes,Karnataka,UttaraKannada,Honavara,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hondapa,2283485767,"FAC/2025/3134",Yes,Odisha,Angul,Boinda,"Primary Health Center","Solar Infra",HEALTH,0,0,0
Hong,1511176735,"FAC/2026/8711",Yes,"Arunachal Pradesh",LowerSubansiri,Ziro1,"Sub Center","Bharti Sharma",HEALTH,0,0,0
Honnagundanahalli,3445861770,"FAC/2026/7024",Yes,Karnataka,Tumkur,Sira,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Honnali A",7184826365,"FAC/2026/7442",Yes,Karnataka,Davanagere,Honnali,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,1,1
"Honnali General Hospital",2154214130,"FAC/2025/4487",Yes,Karnataka,Davanagere,Honnali,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Honnatti,4435445640,"FAC/2025/4850",Yes,Karnataka,Haveri,Ranebennur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
Honnavalli,6484137275,"FAC/2026/6714",Yes,Karnataka,Chikkamagaluru,Sringeri,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Honnenahlli,6282383675,"FAC/2026/6349",Yes,Karnataka,Mandya,Nagamangala,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Honnihalli,5248872243,"FAC/2025/4366",Yes,Karnataka,Belagavi,Hukkeri,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Honnudike,7461727773,"FAC/2025/4203",Yes,Karnataka,Tumkur,Tiptur,"Primary Health Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Honnutagi,2273827382,"FAC/2025/4587",Yes,Karnataka,Vijayapura,Vijayapura,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
Hoograjuli,1113237265,"FAC/2025/0591",Yes,Assam,Sonitpur,Dhekiajuli,"Primary Health Center","Renesys Power Systems",HEALTH,0,0,0
Hoolagunda,5114265712,"FAC/2026/6982",Yes,Karnataka,Tumkur,Kunigal,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hoolgera,6638575388,"FAC/2025/3676",Yes,Karnataka,Koppal,Kushtagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hoolgeri,2747533475,"FAC/2025/4139",Yes,Karnataka,Bagalkote,Badami,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hooli,4466275684,"FAC/2025/5928",Yes,Karnataka,Belagavi,Savadatti,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Hoolikatti,3768278222,"FAC/2025/5929",Yes,Karnataka,Belagavi,Savadatti,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Horabailu,6656646483,"FAC/2025/6064",Yes,Karnataka,Shivamogga,Soraba,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Horalavadi,6833828525,"FAC/2026/7594",Yes,Karnataka,Mysuru,Nanjangudu,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Horti,8674373132,"FAC/2025/4563",Yes,Karnataka,Vijayapura,Indi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
"Hortoki SC",HortokiSC,"FAC/2025/2887",Yes,Mizoram,Kolasib,Thingdawl,"Sub Center","Agni Green Power Ltd",HEALTH,0,2,2
"Hosa Agrahara",3211814219,"FAC/2026/6405",Yes,Karnataka,Mysuru,Krishnarajanagara,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,1,1
"Hosabandi Haralapur",1115817345,"FAC/2025/4749",Yes,Karnataka,Koppal,Koppal,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Hosabidralli,4457647560,"FAC/2026/7595",Yes,Karnataka,Mysuru,"H D Kote","Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Hosadurga General Hospital",1116245182,"FAC/2025/4491",Yes,Karnataka,Chitradurga,Hosadurga,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hosahalli,4611751613,"FAC/2025/4624",Yes,Karnataka,Vijayanagar,Kudligi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
"Hosahalli-Hadagali",1212674152,"FAC/2025/3584",Yes,Karnataka,Vijayanagara,Hadagali,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hosakannambadi,7338416675,"FAC/2026/6350",Yes,Karnataka,Mandya,Pandavapura,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
"Hosakera Daggi",8836683212,"FAC/2025/4727",Yes,Karnataka,Koppal,Gangavathi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Hosakere,2556663116,"FAC/2026/7415",Yes,Karnataka,Davanagere,Jagalur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hosakere,5216675123,"FAC/2025/4211",Yes,Karnataka,Tumkur,Koratagere,"Primary Health Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,1,1
Hosakoppa,6338658278,"FAC/2026/6715",Yes,Karnataka,Chikkamagaluru,Koppa,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Hosakote,5211514673,"FAC/2025/3583",Yes,Karnataka,Vijayanagara,Harapanahalli,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Hosakote Taluk General Hospital",5887317724,"FAC/2025/4516",Yes,Karnataka,BengaluruRural,Hosakote,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hosakoti,7676548717,"FAC/2025/4138",Yes,Karnataka,Bagalkote,Badami,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hosalingpura,8534147437,"FAC/2025/3674",Yes,Karnataka,Koppal,Koppal,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hosalli,5564347473,"FAC/2026/7447",Yes,Karnataka,Davanagere,Honnali,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Hosalli B",7477228410,"FAC/2026/7450",Yes,Karnataka,Davanagere,Honnali,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hosanadu,1411135435,"FAC/2025/5970",Yes,Karnataka,Shivamogga,Hosanagara,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Hosangara B",8855343367,"FAC/2025/5972",Yes,Karnataka,Shivamogga,Hosanagara,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Hosapete,1123475210,"FAC/2026/6860",Yes,Karnataka,Chikkaballapura,Sidlagahatta,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Hosapete-Kunigal",2358228787,"FAC/2026/6976",Yes,Karnataka,Tumkur,Kunigal,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hosatti,3533485748,"FAC/2025/4399",Yes,Karnataka,Belagavi,Athani,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hosayalanadu,5448354810,"FAC/2025/5015",Yes,Karnataka,Chitradurga,Hiriyur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
Hosgadde,3367851874,"FAC/2025/6096",Yes,Karnataka,Shivamogga,Thirthahalli,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Hospet General Hospital",4815873577,"FAC/2025/4422",Yes,Karnataka,Vijayanagara,Hospet,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hossur,1515282414,"FAC/2025/3790",Yes,Karnataka,Kalaburagi,Chittapur,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hostallam,1115218370,"FAC/2026/8391",Yes,"Arunachal Pradesh",PapumPare,Doimukh,"Ayush Health & Wellness Center","Bharti Sharma",HEALTH,0,0,0
Hosudi,8573285676,"FAC/2025/6044",Yes,Karnataka,Shivamogga,Shivamogga,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Hosur-Badami",6111557424,"FAC/2025/4137",Yes,Karnataka,Bagalkote,Badami,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hosuru,1476868144,"FAC/2025/6003",Yes,Karnataka,Shivamogga,Sagara,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Hosuru,4265882581,"FAC/2026/6716",Yes,Karnataka,Chikkamagaluru,Koppa,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Hosuru,7363465688,"FAC/2026/7871",Yes,Karnataka,Haveri,Shiggaon,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hotapet,2341838346,"FAC/2025/4221",Yes,Karnataka,Yadgir,Yadgir,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hothanahalli,3564466443,"FAC/2026/7539",Yes,Karnataka,Haveri,Shiggaon,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hovinashigli,7683731678,"FAC/2026/7540",Yes,Karnataka,Haveri,Savanur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Hovishe HWC",IN1310000972,"FAC/2025/2103",Yes,Nagaland,Niuland,Niuland,"Health and Wellness Center","Aboriginal Energy",HEALTH,0,0,0
Howajan,8333427337,"FAC/2025/0658",Yes,Assam,Biswanath,"Pub Chaiduar","Primary Health Center","Renesys Power Systems",HEALTH,0,0,0
Howly,8337535770,"FAC/2025/0187",Yes,Assam,Barpeta,Bhabanipur,"Block Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Hrangchalkawn,HrangchalkawnUPHC,"FAC/2025/2737",Yes,Mizoram,Lunglei,Lunglei,"Urban Primary Health Center","Krishna Power Solution",HEALTH,0,1,1
"Hrangchalkawn SC",HrangchalkawnSC,"FAC/2025/2705",Yes,Mizoram,Lunglei,Lunglei,"Sub Center","Krishna Power Solution",HEALTH,0,1,1
Hreichuk,hreichuk,"FAC/2025/5781",Yes,Mizoram,Mamit,Reiek,"Health Clinic","Agni Green Power Ltd",HEALTH,0,0,0
Hrianghmun,hrianghmun,"FAC/2025/5777",Yes,Mizoram,Saitual,Ngopa,"Health Clinic","Agni Green Power Ltd",HEALTH,0,0,0
"Hriangtlang SC",HriangtlangSC,"FAC/2025/2758",Yes,Mizoram,Serchhip,Serchhip,"Sub Center","Agni Green Power Ltd",HEALTH,0,0,0
"Hualngohmun SC",HualngohmunSC,"FAC/2025/2831",Yes,Mizoram,Aizawl,Tlangnuam,"Sub Center","Krishna Power Solution",HEALTH,0,1,1
"Hualtu SC",HualtuSC,"FAC/2025/2762",Yes,Mizoram,Serchhip,Serchhip,"Sub Center","Krishna Power Solution",HEALTH,0,0,0
Huda,4666837416,"FAC/2025/5299",Yes,Karnataka,Raichur,Sindhanur,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,4,4
Hudgi,3826115127,"FAC/2025/5072",Yes,Karnataka,Bidar,Humnabad,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,8,8
Huikap,8854583559,"FAC/2025/1823",Yes,Manipur,ImphalEast,KeiraoBitra,"Health and Wellness Center","SNL Energy Solutions",HEALTH,0,0,0
"Hukkeri Taluk General Hospital",8572334376,"FAC/2025/4508",Yes,Karnataka,Belagavi,Hukkeri,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Hukphang SC",IN1310000879,"FAC/2025/1923",Yes,Nagaland,Longleng,Longleng,"Sub Center","A and D Solar",HEALTH,0,0,0
Hulagbal,6784432624,"FAC/2025/4407",Yes,Karnataka,Belagavi,Athani,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hulakoti,6651448448,"FAC/2025/4914",Yes,Karnataka,Gadag,Gadag,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
"Hulatti - Hangal",8855756766,"FAC/2026/7541",Yes,Karnataka,Haveri,Hangal,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Hulatti - Hirekerur",7386354240,"FAC/2026/7542",Yes,Karnataka,Haveri,Hirekerur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hulegudda,7185857435,"FAC/2025/3673",Yes,Karnataka,Koppal,Yelburga,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hulibele,2887721468,"FAC/2026/6869",Yes,Karnataka,Kolar,Bangarpet,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hulikal,2413322120,"FAC/2025/5969",Yes,Karnataka,Shivamogga,Hosanagara,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Hulikal,6781177776,"FAC/2026/7053",Yes,Karnataka,Tumkur,Turvekere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hulikere,7513213228,"FAC/2025/3287",Yes,Karnataka,Chikkamagaluru,Hullikere,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Hulikeri,7774433226,"FAC/2025/3582",Yes,Karnataka,Vijayanagara,Kudilgi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hulikunte,2288654763,"FAC/2026/6969",Yes,Karnataka,Tumkur,Koratagere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hulithotilu,7836264189,"FAC/2026/7330",Yes,Karnataka,Chitradurga,Hiriyur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Huliyapur,5648421872,"FAC/2025/3671",Yes,Karnataka,Koppal,Kushtagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hulkund,7277711888,"FAC/2025/5165",Yes,Karnataka,Belagavi,Ramadurga,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
Hullekere,7332883235,"FAC/2026/7083",Yes,Karnataka,Hassan,Arasikere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hullukona,"mg-0501","FAC/2025/1148",Yes,Meghalaya,SouthWestGaroHills,Zikzak,"Health and Wellness Center",ERES,HEALTH,0,0,0
"Hullur-Muddebihal",6387652479,"FAC/2025/3455",Yes,Karnataka,Vijayapura,Muddebihal,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Hullur-Ron",3435381482,"FAC/2025/3862",Yes,Karnataka,Gadag,Ron,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Hullur-Shirahatti",1432131538,"FAC/2025/3861",Yes,Karnataka,Gadag,Shirhatti,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hulmagoan,5642433782,"FAC/2025/0915",Yes,Assam,Chirang,Sidli,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,1,1
Hulsoor,4628562789,"FAC/2025/3949",Yes,Karnataka,Bidar,Aurad,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Hulugalakunte,1426251235,"FAC/2026/7331",Yes,Karnataka,Chitradurga,Hiriyur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hulyalu,8531474859,"FAC/2026/7596",Yes,Karnataka,Mysuru,Hunsur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Humcha A",5447372763,"FAC/2025/5971",Yes,Karnataka,Shivamogga,Hosanagara,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Hunagund Taluk Hospital",8217647760,"FAC/2025/4522",Yes,Karnataka,Bagalkote,Hunagund,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Hunasakatte Junction",7333733371,"FAC/2025/5949",Yes,Karnataka,Shivamogga,Bhadravathi,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Hunasanahalli,4644732663,"FAC/2026/6870",Yes,Karnataka,Kolar,Bangarpet,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Hunasekatte,7563447361,"FAC/2026/7025",Yes,Karnataka,Tumkur,Sira,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Hunasi Hadgil",5474357349,"FAC/2025/3789",Yes,Karnataka,Kalaburagi,Kalaburagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,1,1
Hunasikatti,1115741660,"FAC/2025/5856",Yes,Karnataka,Bagalkote,Jamakhandi,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
